# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.687295e+05	1.314073e-05
1.600000e-01	6.237428e+06	3.678417e-04
3.200000e-01	1.303106e+07	8.605229e-04
4.800000e-01	1.995859e+07	1.101190e-03
6.400000e-01	2.704331e+07	1.693654e-03
8.000000e-01	3.053525e+07	2.061375e-03
9.600000e-01	3.028138e+07	2.315464e-03
1.120000e+00	3.084323e+07	2.769692e-03
1.280000e+00	3.216987e+07	3.289147e-03
1.440000e+00	3.281908e+07	3.556665e-03
1.600000e+00	3.198730e+07	4.165074e-03
1.760000e+00	3.330479e+07	4.505183e-03
1.920000e+00	3.362623e+07	4.835866e-03
2.080000e+00	3.456073e+07	5.276513e-03
2.240000e+00	3.460821e+07	5.769850e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
