# Time [s]	Stress [Pa]	Strain
0.000000e+00	1.759793e+05	1.136338e-04
2.100000e-01	7.815942e+06	5.397235e-04
4.200000e-01	1.369248e+07	1.047210e-03
6.300000e-01	2.159442e+07	1.814032e-03
8.400000e-01	2.823734e+07	2.370085e-03
1.050000e+00	2.895380e+07	2.949622e-03
1.260000e+00	3.138200e+07	3.521834e-03
1.470000e+00	3.213547e+07	3.922460e-03
1.680000e+00	3.337399e+07	4.631081e-03
1.890000e+00	3.460903e+07	5.195877e-03
2.100000e+00	3.636894e+07	5.708903e-03
# Creation : Jeudi 3 novembre 2011, 23:09:55
