# Time [s]	Stress [Pa]	Strain
0.000000e+00	6.568269e+05	5.208073e-05
1.600000e-01	7.299973e+06	4.478033e-04
3.200000e-01	1.382942e+07	8.244918e-04
4.800000e-01	2.152203e+07	1.209253e-03
6.400000e-01	2.847285e+07	1.570009e-03
8.000000e-01	3.246148e+07	2.065762e-03
9.600000e-01	3.326655e+07	2.593151e-03
1.120000e+00	3.377226e+07	3.006953e-03
1.280000e+00	3.339714e+07	3.270944e-03
1.440000e+00	3.516846e+07	3.775960e-03
1.600000e+00	3.414628e+07	4.216733e-03
1.760000e+00	3.504109e+07	4.691993e-03
1.920000e+00	3.531777e+07	5.046263e-03
2.080000e+00	3.548153e+07	5.484359e-03
2.240000e+00	3.656039e+07	5.914570e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
