# Time [s]	Stress [Pa]	Strain
0.000000e+00	2.778561e+05	1.076814e-04
1.800000e-01	7.566831e+06	5.072221e-04
3.600000e-01	1.634179e+07	9.902472e-04
5.400000e-01	2.396526e+07	1.426244e-03
7.200000e-01	3.111009e+07	1.985393e-03
9.000000e-01	3.080636e+07	2.471329e-03
1.080000e+00	3.118859e+07	2.957387e-03
1.260000e+00	3.116230e+07	3.457757e-03
1.440000e+00	3.193164e+07	3.852030e-03
1.620000e+00	3.186635e+07	4.250969e-03
1.800000e+00	3.233598e+07	4.806754e-03
1.980000e+00	3.370480e+07	5.274800e-03
2.160000e+00	3.352489e+07	5.776290e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
