# Time [s]	Stress [Pa]	Strain
0.000000e+00	5.194690e+05	1.728290e-05
2.300000e-01	6.132464e+06	4.808462e-04
4.600000e-01	1.356864e+07	1.125089e-03
6.900000e-01	2.039064e+07	1.813411e-03
9.200000e-01	2.644206e+07	2.312381e-03
1.150000e+00	2.977103e+07	2.976811e-03
1.380000e+00	3.032235e+07	3.558580e-03
1.610000e+00	3.159974e+07	4.185014e-03
1.840000e+00	3.390833e+07	4.621658e-03
2.070000e+00	3.543649e+07	5.136147e-03
2.300000e+00	3.618701e+07	5.706410e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
