# Time [s]	Stress [Pa]	Strain
0.000000e+00	6.209471e+05	4.351830e-05
1.700000e-01	5.839993e+06	5.277074e-04
3.400000e-01	1.164993e+07	8.977666e-04
5.100000e-01	1.788044e+07	1.308043e-03
6.800000e-01	2.407324e+07	1.820752e-03
8.500000e-01	3.059151e+07	2.253177e-03
1.020000e+00	3.110265e+07	2.706029e-03
1.190000e+00	3.211357e+07	3.170665e-03
1.360000e+00	3.245124e+07	3.416193e-03
1.530000e+00	3.317456e+07	3.855012e-03
1.700000e+00	3.355818e+07	4.292452e-03
1.870000e+00	3.327558e+07	4.838764e-03
2.040000e+00	3.430296e+07	5.312628e-03
2.210000e+00	3.433160e+07	5.810051e-03
# Creation : Jeudi 3 novembre 2011, 23:09:55
