# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.269762e+05	1.151587e-04
1.800000e-01	6.660672e+06	4.006452e-04
3.600000e-01	1.225886e+07	1.005432e-03
5.400000e-01	1.839993e+07	1.501537e-03
7.200000e-01	2.461197e+07	1.987199e-03
9.000000e-01	2.711808e+07	2.496539e-03
1.080000e+00	2.862218e+07	2.871970e-03
1.260000e+00	2.863618e+07	3.474058e-03
1.440000e+00	2.948437e+07	3.910593e-03
1.620000e+00	3.065614e+07	4.303596e-03
1.800000e+00	3.220740e+07	4.699004e-03
1.980000e+00	3.364513e+07	5.382160e-03
2.160000e+00	3.410279e+07	5.699166e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
