# Time [s]	Stress [Pa]	Strain
0.000000e+00	7.233916e+05	7.892484e-05
1.700000e-01	6.275308e+06	4.523530e-04
3.400000e-01	1.249510e+07	8.078448e-04
5.100000e-01	1.708350e+07	1.210075e-03
6.800000e-01	2.383467e+07	1.818733e-03
8.500000e-01	2.941078e+07	2.083006e-03
1.020000e+00	3.588060e+07	2.489675e-03
1.190000e+00	3.589659e+07	3.045348e-03
1.360000e+00	3.510168e+07	3.465932e-03
1.530000e+00	3.563510e+07	3.861902e-03
1.700000e+00	3.516852e+07	4.375847e-03
1.870000e+00	3.507181e+07	4.750918e-03
2.040000e+00	3.555721e+07	5.128960e-03
2.210000e+00	3.440951e+07	5.598816e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
