# Time [s]	Stress [Pa]	Strain
0.000000e+00	7.058968e+05	8.847371e-05
2.000000e-01	8.163991e+06	4.311527e-04
4.000000e-01	1.584985e+07	1.076976e-03
6.000000e-01	2.357617e+07	1.591650e-03
8.000000e-01	3.042007e+07	2.151148e-03
1.000000e+00	3.110224e+07	2.725412e-03
1.200000e+00	3.176198e+07	3.108045e-03
1.400000e+00	3.140532e+07	3.584936e-03
1.600000e+00	3.240181e+07	4.319174e-03
1.800000e+00	3.319666e+07	4.830117e-03
2.000000e+00	3.385897e+07	5.301277e-03
2.200000e+00	3.337120e+07	5.838394e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
