# Time [s]	Stress [Pa]	Strain
0.000000e+00	1.633347e+05	9.467845e-05
1.900000e-01	7.492781e+06	4.045849e-04
3.800000e-01	1.318516e+07	1.019837e-03
5.700000e-01	2.016849e+07	1.434526e-03
7.600000e-01	2.735641e+07	2.022281e-03
9.500000e-01	3.450074e+07	2.390445e-03
1.140000e+00	3.694495e+07	2.823852e-03
1.330000e+00	3.553644e+07	3.380569e-03
1.520000e+00	3.519499e+07	3.997506e-03
1.710000e+00	3.572071e+07	4.370654e-03
1.900000e+00	3.436905e+07	4.851839e-03
2.090000e+00	3.486662e+07	5.449498e-03
2.280000e+00	3.358446e+07	5.835043e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
