# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.829248e+04	3.888708e-05
2.300000e-01	1.020665e+07	6.523584e-04
4.600000e-01	1.917195e+07	1.199475e-03
6.900000e-01	2.917784e+07	1.672268e-03
9.200000e-01	3.568951e+07	2.278171e-03
1.150000e+00	3.543342e+07	2.793188e-03
1.380000e+00	3.607949e+07	3.399377e-03
1.610000e+00	3.517454e+07	3.838310e-03
1.840000e+00	3.511450e+07	4.450510e-03
2.070000e+00	3.457034e+07	5.046333e-03
2.300000e+00	3.478472e+07	5.533765e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
