# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.577055e+05	1.315288e-05
1.500000e-01	5.736666e+06	4.860229e-04
3.000000e-01	1.327076e+07	8.804992e-04
4.500000e-01	1.919200e+07	1.208507e-03
6.000000e-01	2.608029e+07	1.539750e-03
7.500000e-01	3.276515e+07	2.013305e-03
9.000000e-01	3.211763e+07	2.236009e-03
1.050000e+00	3.218550e+07	2.759565e-03
1.200000e+00	3.329134e+07	3.129151e-03
1.350000e+00	3.255646e+07	3.427408e-03
1.500000e+00	3.339190e+07	3.959507e-03
1.650000e+00	3.387255e+07	4.218200e-03
1.800000e+00	3.319131e+07	4.715240e-03
1.950000e+00	3.442093e+07	5.052993e-03
2.100000e+00	3.340027e+07	5.500425e-03
2.250000e+00	3.483433e+07	5.788638e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
