# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.201638e+04	9.697166e-05
2.300000e-01	6.499205e+06	6.588508e-04
4.600000e-01	1.287799e+07	1.021358e-03
6.900000e-01	2.052232e+07	1.587070e-03
9.200000e-01	2.699231e+07	2.289052e-03
1.150000e+00	3.031823e+07	2.843985e-03
1.380000e+00	3.168124e+07	3.381198e-03
1.610000e+00	3.263790e+07	3.883866e-03
1.840000e+00	3.360445e+07	4.545171e-03
2.070000e+00	3.382882e+07	5.116645e-03
2.300000e+00	3.504760e+07	5.707533e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
