# Time [s]	Stress [Pa]	Strain
0.000000e+00	2.164009e+05	9.846127e-05
1.600000e-01	5.395197e+06	4.780217e-04
3.200000e-01	1.195098e+07	7.133854e-04
4.800000e-01	1.793244e+07	1.340835e-03
6.400000e-01	2.384090e+07	1.644751e-03
8.000000e-01	2.972159e+07	1.945518e-03
9.600000e-01	3.515466e+07	2.475771e-03
1.120000e+00	3.549781e+07	2.856768e-03
1.280000e+00	3.491339e+07	3.265125e-03
1.440000e+00	3.594483e+07	3.712944e-03
1.600000e+00	3.525149e+07	4.134466e-03
1.760000e+00	3.561992e+07	4.563168e-03
1.920000e+00	3.567101e+07	4.933125e-03
2.080000e+00	3.540721e+07	5.301294e-03
2.240000e+00	3.544358e+07	5.707658e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
