# Time [s]	Stress [Pa]	Strain
0.000000e+00	5.225111e+05	9.205643e-05
2.300000e-01	8.082611e+06	6.730678e-04
4.600000e-01	1.697707e+07	1.213925e-03
6.900000e-01	2.581976e+07	1.792804e-03
9.200000e-01	2.961724e+07	2.379176e-03
1.150000e+00	3.003376e+07	2.994464e-03
1.380000e+00	3.117470e+07	3.580956e-03
1.610000e+00	3.317957e+07	4.115763e-03
1.840000e+00	3.390527e+07	4.542317e-03
2.070000e+00	3.525607e+07	5.283394e-03
2.300000e+00	3.622535e+07	5.690553e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
