# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.480966e+05	6.959403e-05
2.300000e-01	6.111163e+06	6.910840e-04
4.600000e-01	1.084191e+07	1.119400e-03
6.900000e-01	1.685024e+07	1.671074e-03
9.200000e-01	2.315269e+07	2.443644e-03
1.150000e+00	2.707213e+07	2.893420e-03
1.380000e+00	2.831408e+07	3.452517e-03
1.610000e+00	3.037233e+07	4.157375e-03
1.840000e+00	3.165179e+07	4.788545e-03
2.070000e+00	3.309652e+07	5.192612e-03
2.300000e+00	3.340617e+07	5.763002e-03
# Creation : Jeudi 3 novembre 2011, 23:09:55
