# Time [s]	Stress [Pa]	Strain
0.000000e+00	9.570328e+04	5.457047e-05
2.100000e-01	6.564172e+06	5.141834e-04
4.200000e-01	1.467183e+07	1.160644e-03
6.300000e-01	2.150497e+07	1.787062e-03
8.400000e-01	2.601358e+07	2.284507e-03
1.050000e+00	2.768104e+07	2.775920e-03
1.260000e+00	3.013841e+07	3.465790e-03
1.470000e+00	3.101266e+07	3.875102e-03
1.680000e+00	3.299017e+07	4.626635e-03
1.890000e+00	3.511108e+07	4.997634e-03
2.100000e+00	3.559408e+07	5.735800e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
