# Time [s]	Stress [Pa]	Strain
0.000000e+00	7.022157e+05	5.944618e-05
1.600000e-01	6.953061e+06	2.918407e-04
3.200000e-01	1.341848e+07	8.808225e-04
4.800000e-01	2.082973e+07	1.182621e-03
6.400000e-01	2.721992e+07	1.661301e-03
8.000000e-01	3.376933e+07	1.950813e-03
9.600000e-01	3.427594e+07	2.409246e-03
1.120000e+00	3.521165e+07	2.852648e-03
1.280000e+00	3.492569e+07	3.217318e-03
1.440000e+00	3.465205e+07	3.523608e-03
1.600000e+00	3.480464e+07	4.133298e-03
1.760000e+00	3.573120e+07	4.380089e-03
1.920000e+00	3.497641e+07	4.813088e-03
2.080000e+00	3.588314e+07	5.340570e-03
2.240000e+00	3.595647e+07	5.637654e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
