# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.839319e+05	7.369456e-05
2.300000e-01	7.150091e+06	4.706477e-04
4.600000e-01	1.633727e+07	1.255976e-03
6.900000e-01	2.414601e+07	1.698146e-03
9.200000e-01	2.646155e+07	2.416614e-03
1.150000e+00	2.842999e+07	2.906834e-03
1.380000e+00	2.939180e+07	3.468254e-03
1.610000e+00	2.981576e+07	4.022590e-03
1.840000e+00	3.183094e+07	4.652682e-03
2.070000e+00	3.246672e+07	5.297275e-03
2.300000e+00	3.397974e+07	5.774311e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
