# Time [s]	Stress [Pa]	Strain
0.000000e+00	1.147203e+05	8.902144e-05
1.700000e-01	4.814431e+06	4.797984e-04
3.400000e-01	9.223892e+06	9.785102e-04
5.100000e-01	1.404157e+07	1.437613e-03
6.800000e-01	1.861382e+07	1.869389e-03
8.500000e-01	2.297281e+07	2.167557e-03
1.020000e+00	2.835309e+07	2.774290e-03
1.190000e+00	2.946704e+07	3.203271e-03
1.360000e+00	2.906615e+07	3.542536e-03
1.530000e+00	3.006781e+07	3.945047e-03
1.700000e+00	3.205507e+07	4.459641e-03
1.870000e+00	3.301909e+07	4.825563e-03
2.040000e+00	3.408435e+07	5.349787e-03
2.210000e+00	3.470733e+07	5.806368e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
