# Time [s]	Stress [Pa]	Strain
0.000000e+00	2.811729e+05	1.560352e-05
1.600000e-01	6.346197e+06	4.241115e-04
3.200000e-01	1.151403e+07	8.658025e-04
4.800000e-01	1.683151e+07	1.179052e-03
6.400000e-01	2.251934e+07	1.499103e-03
8.000000e-01	2.647855e+07	2.091608e-03
9.600000e-01	2.864359e+07	2.405389e-03
1.120000e+00	2.815566e+07	2.915751e-03
1.280000e+00	2.942601e+07	3.321237e-03
1.440000e+00	3.091063e+07	3.525112e-03
1.600000e+00	3.114153e+07	4.145234e-03
1.760000e+00	3.231725e+07	4.440720e-03
1.920000e+00	3.256202e+07	4.902225e-03
2.080000e+00	3.296092e+07	5.138291e-03
2.240000e+00	3.408553e+07	5.640963e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
