# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.067324e+05	5.944945e-05
1.900000e-01	7.513692e+06	3.629158e-04
3.800000e-01	1.495674e+07	9.658674e-04
5.700000e-01	2.363279e+07	1.292773e-03
7.600000e-01	3.108185e+07	1.840621e-03
9.500000e-01	3.207757e+07	2.253385e-03
1.140000e+00	3.236167e+07	2.757078e-03
1.330000e+00	3.360612e+07	3.370551e-03
1.520000e+00	3.453441e+07	3.690985e-03
1.710000e+00	3.416785e+07	4.147419e-03
1.900000e+00	3.533770e+07	4.670704e-03
2.090000e+00	3.616393e+07	5.192379e-03
2.280000e+00	3.680183e+07	5.527416e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
