# Time [s]	Stress [Pa]	Strain
0.000000e+00	7.062556e+05	2.965212e-05
2.100000e-01	9.110271e+06	4.791902e-04
4.200000e-01	1.818799e+07	1.080030e-03
6.300000e-01	2.714778e+07	1.801012e-03
8.400000e-01	3.364029e+07	2.280420e-03
1.050000e+00	3.395139e+07	2.967983e-03
1.260000e+00	3.454020e+07	3.414860e-03
1.470000e+00	3.345761e+07	4.143244e-03
1.680000e+00	3.302096e+07	4.563591e-03
1.890000e+00	3.357236e+07	5.348995e-03
2.100000e+00	3.307330e+07	5.777324e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
