# Time [s]	Stress [Pa]	Strain
0.000000e+00	6.656189e+05	1.715638e-05
1.700000e-01	5.008935e+06	4.018590e-04
3.400000e-01	8.896246e+06	9.163038e-04
5.100000e-01	1.330832e+07	1.335532e-03
6.800000e-01	1.820270e+07	1.798168e-03
8.500000e-01	2.236916e+07	2.117464e-03
1.020000e+00	2.594063e+07	2.678311e-03
1.190000e+00	2.815031e+07	3.238111e-03
1.360000e+00	2.869452e+07	3.585843e-03
1.530000e+00	2.958877e+07	4.057501e-03
1.700000e+00	3.079635e+07	4.554009e-03
1.870000e+00	3.223881e+07	4.905095e-03
2.040000e+00	3.427979e+07	5.294897e-03
2.210000e+00	3.468977e+07	5.720376e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
