# Time [s]	Stress [Pa]	Strain
0.000000e+00	5.380184e+05	3.199372e-05
2.300000e-01	9.267303e+06	5.106116e-04
4.600000e-01	1.715822e+07	1.206210e-03
6.900000e-01	2.503178e+07	1.786264e-03
9.200000e-01	3.415772e+07	2.374559e-03
1.150000e+00	3.593303e+07	2.879599e-03
1.380000e+00	3.514351e+07	3.328623e-03
1.610000e+00	3.523642e+07	4.001657e-03
1.840000e+00	3.422317e+07	4.512840e-03
2.070000e+00	3.367541e+07	5.243755e-03
2.300000e+00	3.433463e+07	5.704189e-03
# Creation : Jeudi 3 novembre 2011, 23:09:55
