# Time [s]	Stress [Pa]	Strain
0.000000e+00	6.773701e+05	3.246890e-05
2.000000e-01	8.613877e+06	4.471581e-04
4.000000e-01	1.538947e+07	1.062817e-03
6.000000e-01	2.349867e+07	1.642831e-03
8.000000e-01	3.173035e+07	2.119612e-03
1.000000e+00	3.561534e+07	2.539140e-03
1.200000e+00	3.524156e+07	3.234113e-03
1.400000e+00	3.638945e+07	3.775959e-03
1.600000e+00	3.554866e+07	4.269538e-03
1.800000e+00	3.664667e+07	4.764359e-03
2.000000e+00	3.558083e+07	5.156569e-03
2.200000e+00	3.635499e+07	5.680889e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
