# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.038731e+05	1.043084e-04
1.500000e-01	5.810523e+06	3.248925e-04
3.000000e-01	1.102927e+07	7.858725e-04
4.500000e-01	1.664925e+07	1.255022e-03
6.000000e-01	2.189075e+07	1.537199e-03
7.500000e-01	2.716829e+07	1.966494e-03
9.000000e-01	2.794158e+07	2.376778e-03
1.050000e+00	2.912108e+07	2.761569e-03
1.200000e+00	2.914567e+07	3.070269e-03
1.350000e+00	3.094992e+07	3.452630e-03
1.500000e+00	3.207237e+07	3.801070e-03
1.650000e+00	3.203075e+07	4.116218e-03
1.800000e+00	3.283716e+07	4.541406e-03
1.950000e+00	3.427483e+07	4.894354e-03
2.100000e+00	3.572326e+07	5.297119e-03
2.250000e+00	3.641317e+07	5.737035e-03
# Creation : Jeudi 3 novembre 2011, 23:09:55
