# Time [s]	Stress [Pa]	Strain
0.000000e+00	8.390404e+03	5.105122e-06
1.900000e-01	6.813293e+06	4.388518e-04
3.800000e-01	1.286666e+07	9.284261e-04
5.700000e-01	1.957536e+07	1.412457e-03
7.600000e-01	2.544448e+07	1.777124e-03
9.500000e-01	3.187919e+07	2.243644e-03
1.140000e+00	3.390191e+07	2.862612e-03
1.330000e+00	3.382149e+07	3.185684e-03
1.520000e+00	3.474512e+07	3.837519e-03
1.710000e+00	3.372535e+07	4.134842e-03
1.900000e+00	3.379180e+07	4.694259e-03
2.090000e+00	3.500816e+07	5.123657e-03
2.280000e+00	3.505949e+07	5.721395e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
