# Time [s]	Stress [Pa]	Strain
0.000000e+00	7.351617e+05	1.142984e-04
1.600000e-01	5.538076e+06	4.293946e-04
3.200000e-01	1.233275e+07	9.144119e-04
4.800000e-01	1.886558e+07	1.194875e-03
6.400000e-01	2.538075e+07	1.780124e-03
8.000000e-01	3.110842e+07	2.144727e-03
9.600000e-01	3.154781e+07	2.443718e-03
1.120000e+00	3.187111e+07	2.986005e-03
1.280000e+00	3.267349e+07	3.227826e-03
1.440000e+00	3.331634e+07	3.803487e-03
1.600000e+00	3.326869e+07	4.189810e-03
1.760000e+00	3.319251e+07	4.619940e-03
1.920000e+00	3.434099e+07	4.969907e-03
2.080000e+00	3.554444e+07	5.393768e-03
2.240000e+00	3.580733e+07	5.775340e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
