# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.465818e+05	1.173141e-04
1.800000e-01	5.914619e+06	4.560018e-04
3.600000e-01	1.370613e+07	9.238721e-04
5.400000e-01	1.924272e+07	1.560316e-03
7.200000e-01	2.669479e+07	1.874896e-03
9.000000e-01	3.299559e+07	2.410806e-03
1.080000e+00	3.478323e+07	2.869011e-03
1.260000e+00	3.387414e+07	3.369198e-03
1.440000e+00	3.446256e+07	3.768152e-03
1.620000e+00	3.397608e+07	4.287934e-03
1.800000e+00	3.437727e+07	4.929304e-03
1.980000e+00	3.350825e+07	5.290267e-03
2.160000e+00	3.482826e+07	5.799331e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
