# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.430336e+05	3.818260e-05
2.200000e-01	8.059625e+06	6.678025e-04
4.400000e-01	1.598205e+07	1.090887e-03
6.600000e-01	2.416369e+07	1.715505e-03
8.800000e-01	3.216131e+07	2.323114e-03
1.100000e+00	3.493661e+07	2.848056e-03
1.320000e+00	3.470682e+07	3.379518e-03
1.540000e+00	3.452788e+07	4.008062e-03
1.760000e+00	3.391613e+07	4.550677e-03
1.980000e+00	3.431134e+07	5.264929e-03
2.200000e+00	3.323662e+07	5.751741e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
