# Time [s]	Stress [Pa]	Strain
0.000000e+00	4.517765e+05	8.150562e-05
1.700000e-01	8.623506e+06	4.112578e-04
3.400000e-01	1.699858e+07	8.515688e-04
5.100000e-01	2.557087e+07	1.405370e-03
6.800000e-01	3.324236e+07	1.782117e-03
8.500000e-01	3.605438e+07	2.154022e-03
1.020000e+00	3.606793e+07	2.737081e-03
1.190000e+00	3.601840e+07	3.011666e-03
1.360000e+00	3.601130e+07	3.421497e-03
1.530000e+00	3.646046e+07	3.876233e-03
1.700000e+00	3.595782e+07	4.358654e-03
1.870000e+00	3.628617e+07	4.840519e-03
2.040000e+00	3.742524e+07	5.365958e-03
2.210000e+00	3.740771e+07	5.709308e-03
# Creation : Jeudi 3 novembre 2011, 23:09:56
