# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.225980e+05	3.295809e-05
2.100000e-01	8.714238e+06	5.818904e-04
4.200000e-01	1.710680e+07	1.121373e-03
6.300000e-01	2.608335e+07	1.836221e-03
8.400000e-01	3.406368e+07	2.220829e-03
1.050000e+00	3.418012e+07	2.924482e-03
1.260000e+00	3.422845e+07	3.452326e-03
1.470000e+00	3.345106e+07	3.974617e-03
1.680000e+00	3.335632e+07	4.597962e-03
1.890000e+00	3.339379e+07	5.297891e-03
2.100000e+00	3.414342e+07	5.717029e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
